,,,,,,,,,,,,,,,,,
NAME,REST_NAME,CALORIES,CATEGORY,PRICE,ALLERGEN 1,ALLERGEN 2,ALLERGEN 3,ALLERGEN 4,ALLERGEN 5,ALLERGEN 6,ALLERGEN 7,ALLERGEN 8,ALLERGEN 9,ALLERGEN 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3
APPLE RED DELICIOUS FANCY 125CT,SDH,75,DINING HALL,,,,,,,,,,,,FRUIT,APPLE,APPLE
JAPANESE UDON NOODLES,SDH,171,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,NOODLES,ASIAN,ASIAN
CHICKEN POPPERS WITH GENERAL TSO'S SAUCE,SDH,197,DINING HALL,,SOY,WHEAT,,,,,,,,,CHICKEN,ASIAN,MEAT
ORANGE BEEF,SDH,249,DINING HALL,,SOY,WHEAT,,,,,,,,,MEAT,ASIAN,ASIAN
KOREAN GUCHUL PAN CHICKEN,SDH,83,DINING HALL,,SOY,,,,,,,,,,CHICKEN,ASIAN,ASIAN
LO MEIN,SDH,355,DINING HALL,,WHEAT,,,,,,,,,,NOODLES,ASIAN,ASIAN
VEGAN BENEDICT WITH AVOCADO,SDH,266,DINING HALL,,SOY,TREE NUTS,WHEAT,,,,,,,,VEGAN,AVOCADO,VEGETABLES
BANANA NUT BREAD,SDH,177,DINING HALL,,EGGS,MILK,TREE NUTS,WHEAT,,,,,,,BREAD,BANANA,BANANA
BANANA SPLIT ICE CREAM,SDH,244,DINING HALL,,MILK,SOY,,,,,,,,,ICE CREAM,BANANA,BANANA
MEATBALLS,SDH,270,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,MEAT,BEEF,BEEF
MEATBALL GRINDER,SDH,411,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,MEAT,BEEF,BEEF
BLUEBERRY PANCAKES,SDH,169,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,PANCAKES,BLUEBERRY,BLUEBERRY
BREADED CHEESE STICKS,SDH,90,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,CHEESE,BREAD,BREAD
CAKE GERMAN CHOC 12X16 SHT,SDH,279,DINING HALL,,EGGS,MILK,SOY,TREE NUTS,WHEAT,,,,,,CHOCOLATE,BREAD,BREAD
PEANUT BUTTER AND JELLY BISMARK,SDH,372,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,DONUT,BREAD,BREAD
SCONES CHOCOLATE CHIP NDB,SDH,691,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,PASTRY,BREAD,BREAD
PITA WHEAT POCKET,SDH,162,DINING HALL,,SOY,WHEAT,,,,,,,,,PITA,BREAD,BREAD
STEAMED BROCCOLI CUTS,SDH,31,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
STRAWBERRY ICED CAKE DONUT,SDH,254,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUTS,CAKE,CAKE
PIZZA CASSEROLE,SDH,415,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,PIZZA,CASSEROLE,CASSEROLE
SDH CREAMY GEMELLI PASTA AND CHEDDAR SALAD,SDH,396,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,PASTA,CHEESE,CHEESE
CHEESE PIZZA,SDH,185,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,PIZZA,CHEESE,CHEESE
GRILLED CHEESE ON WHITE,SDH,349,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,GRILLED CHEESE,CHEESE,BREAD
PENNE WITH GORGONZOLA,SDH,515,DINING HALL,,MILK,WHEAT,,,,,,,,,PASTA,CHEESE,CHEESE
JALAPENO CHEESE TORTILLA,SDH,290,DINING HALL,,WHEAT,,,,,,,,,,TORTILLA,CHEESE,CHEESE
CHERRY NUT ICE CREAM,NDH,244,DINING HALL,,MILK,PEANUTS,SOY,,,,,,,,ICE CREAM,CHERRY,NUTS
BONELESS WING STATION,SDH,800,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,WINGS,CHICKEN,MEAT
SHRIMP AND CHICKEN GUMBO,SDH,116,DINING HALL,,MILK,SHELLFISH,SOY,WHEAT,,,,,,,SEAFOOD,CHICKEN,MEAT
SOUTHERN STYLE CHICKEN SLIDER,SDH,490,DINING HALL,,MILK,WHEAT,,,,,,,,,BURGER,CHICKEN,MEAT
GENERAL TSO'S CHICKEN,SDH,160,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,CHICKEN,CHINESE,CHINESE
PANCAKES BANANA WHITE CHOCOLATE,SDH,161,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,PANCAKES,CHOCOLATE,CHOCOLATE
CHOCOLATE CHUNK COOKIES,SDH,177,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,COOKIES,CHOCOLATE,CHOCOLATE
GLAZED CHOCOLATE DONUT,SDH,252,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUT,CHOCOLATE,CHOCOLATE
COOKIE WHT CHOC MACADAMIA,SDH,299,DINING HALL,,EGGS,MILK,SOY,TREE NUTS,WHEAT,,,,,,COOKIE,CHOCOLATE,CHOCOLATE
CREAM-FILLED LONGJOHN W/ CHOCOLATE,SDH,579,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUT,CHOCOLATE,CHOCOLATE
CHOCOLATE ICE CREAM,SDH,227,DINING HALL,,MILK,PEANUTS,SOY,,,,,,,,ICE CREAM,CHOCOLATE,CHOCOLATE
DOUBLE DUTCH CHOCOLATE NON-FAT YOGURT,SDH,129,DINING HALL,,MILK,,,,,,,,,,YOGURT,CHOCOLATE,CHOCOLATE
COCONUT CAKE DONUT,SDH,227,DINING HALL,,EGGS,MILK,SOY,TREE NUTS,WHEAT,,,,,,DONUT,COCONUT,CAKE
MONSTER PEANUT BUTTER COOKIE,SDH,83,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,DESSERT,COOKIE,COOKIE
CHOCOLATE  CHIP COOKIE 1.5Z,SDH,190,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,CHOCOLATE,COOKIE,COOKIE
OREO COOKIES,SDH,100,DINING HALL,,MILK,PEANUTS,SOY,,,,,,,,OREO,COOKIE,COOKIE
CORN DOG,SDH,162,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,PORK,CORNDOG,CORNDOG
CHIPS CORN FRITO CHILI CHEESE,SDH,202,DINING HALL,,MILK,,,,,,,,,,CHIPS,CORNDOG,CHEESE
HELLO DOLLY BAR WITH WALNUTS,SDH,339,DINING HALL,,MILK,PEANUTS,SOY,TREE NUTS,WHEAT,,,,,,GRAHAM CRACKER,CRACKER,CRACKER
CREPE,SDH,74,DINING HALL,,,,,,,,,,,,SWEDISH,CREPE,PANCAKE
CURRIED VEGETABLE RICE PILAF,SDH,353,DINING HALL,,SOY,,,,,,,,,,VEGETABLES,CURRY,RICE
OATMEAL RAISIN COOKIE,SDH,170,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,COOKIE,DESSERT,DESSERT
ORANGE SHERBET,SDH,145,DINING HALL,,MILK,,,,,,,,,,ICE CREAM,DESSERT,DESSERT
ROASTED GARLIC HUMMUS,SDH,73,DINING HALL,,SOY,,,,,,,,,,HUMMUS,DIP,DIP
CUSTARD-FILLED LONGJOHN WITH CHOC ICING,SDH,457,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,CHOCOLATE,DONUT,DONUT
BAKED LEMON THYME SALMON,SDH,220,DINING HALL,,EGGS,FISH,MILK,WHEAT,,,,,,,SEAFOOD,FISH,FISH
SDH EVERYDAY BURGER BAR,SDH,563,DINING HALL,,SOY,WHEAT,,,,,,,,,BURGER,HAMBURGER,BEEF
FLORIDA LEMON GLAZED CAKE DONUT,SDH,301,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUTS,LEMON,LEMON
FLORIDA LEMON CAKE,SDH,355,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,CAKE,LEMON,LEMON
LO MEIN NOODLES,SDH,78,DINING HALL,,SOY,WHEAT,,,,,,,,,ASIAN,LO MEIN,NOODLES
MAPLE ICED CAKE DONUT,SDH,254,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUTS,MAPLE,MAPLE
BOURBON MOLASSES CHICKEN,SDH,167,DINING HALL,,FISH,MILK,SOY,,,,,,,,CHICKEN,MEAT,MEAT
BOOM BOOM CHICKEN SALAD,SDH,797,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,CHICKEN,MEAT,GREENS
CHIX TCHOUPITOULAS,SDH,72,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,CHICKEN,MEAT,MEAT
BAJA CHICKEN ENCHILADA SOUP,SDH,116,DINING HALL,,MILK,SOY,,,,,,,,,CHICKEN,MEAT,SOUP
CHICKEN MARSALA,SDH,158,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,CHICKEN,MEAT,MEAT
BEEF GOULASH,SDH,236,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,BEEF,MEAT,MEAT
CHIX DRUMMETTE FC BRD W/HONEY BRAKEBUSH,SDH,381,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,CHICKEN,MEAT,MEAT
BRAISED BEEF SHORT RIBS,SDH,574,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,BEEF,MEAT,MEAT
HONEY ROSEMARY CHICKEN,SDH,77,DINING HALL,,,,,,,,,,,,CHICKEN,MEAT,MEAT
CHICKEN CREOLE,SDH,106,DINING HALL,,MILK,,,,,,,,,,CHICKEN,MEAT,MEAT
SAUSAGE LINKS,SDH,120,DINING HALL,,,,,,,,,,,,PORK,MEAT,MEAT
PORK LOIN WITH APPLES,SDH,123,DINING HALL,,,,,,,,,,,,PORK,MEAT,MEAT
CHAR-GRILLED CHICKEN BREAST,SDH,133,DINING HALL,,,,,,,,,,,,CHICKEN,MEAT,MEAT
BROCCOLI AND BACON SALAD,SDH,211,DINING HALL,,EGGS,,,,,,,,,,VEGETABLES,MEAT,PORK
BEEF MUSHROOM BURGER,SDH,230,DINING HALL,,,,,,,,,,,,BEEF,MEAT,BURGER
PIRI PIRI CHICKEN BREAST,SDH,616,DINING HALL,,,,,,,,,,,,CHICKEN,MEAT,MEAT
GRAPE NUTS,SDH,253,DINING HALL,,WHEAT,,,,,,,,,,GRAPE,NUTS,NUTS
KALAMATA OLIVE HUMMUS,SDH,78,DINING HALL,,MILK,SOY,,,,,,,,,DIP,OLIVE,HUMMUS
CARAMELIZED ONIONS,SDH,36,DINING HALL,,MILK,,,,,,,,,,VEGETABLES,ONIONS,ONIONS
MEAT LASAGNA,SDH,457,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,MEAT,PASTA,ITALIAN
SHRIMP SPAGHETTI,SDH,228,DINING HALL,,MILK,SHELLFISH,WHEAT,,,,,,,,SEAFOOD,PASTA,PASTA
MACARONI AND CHEESE,SDH,259,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,NOODLES,PASTA,PASTA
BACON POBLANO MAC AND CHEESE,SDH,304,DINING HALL,,MILK,WHEAT,,,,,,,,,NOODLES,PASTA,PASTA
SCONES CINNAMON,SDH,419,DINING HALL,,MILK,WHEAT,,,,,,,,,BREAD,PASTRY,PASTRY
CHERRY ALMOND SCONES,SDH,430,DINING HALL,,MILK,WHEAT,,,,,,,,,BREAD,PASTRY,PASTRY
PEANUT BUTTER CUP COOKIE,SDH,185,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,COOKIE,PEANUT BUTTER,PEANUT BUTTER
JULIENNED  GREEN PEPPERS,SDH,36,DINING HALL,,,,,,,,,,,,VEGETABLES,PEPEPRS,PEPEPRS
PEPPERONI PIZZA,SDH,162,DINING HALL,,MILK,WHEAT,,,,,,,,,PIZZA,PEPPERONI,PEPPERONI
PINEAPPLE FRIED RICE WITH SHRIMP,SDH,191,DINING HALL,,FISH,SHELLFISH,SOY,,,,,,,,RICE,PINEAPPLE,SHRIMP
ORANGE PINEAPPLE SALAD,SDH,77,DINING HALL,,TREE NUTS,,,,,,,,,,FRUIT,PINEAPPLE,PINEAPPLE
BEAN SOUP WITH HAM,SDH,158,DINING HALL,,FISH,SOY,WHEAT,,,,,,,,MEAT,PORK,PORK
PUMPKIN PIE,SDH,288,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,PIE,PUMPKIN,PUMPKIN
ROAST PORK FRIED RICE,SDH,214,DINING HALL,,SHELLFISH,SOY,WHEAT,,,,,,,,MEAT,RICE,ASIAN
RISOTTO BARLEY ROOT VEGETABLES,SDH,353,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,RISOTTO,RICE,VEGETABLES
INDIAN BEANS AND RICE,SDH,234,DINING HALL,,,,,,,,,,,,BEANS,RICE,RICE
BALTIMOREAN BEANS AND RICE,SDH,253,DINING HALL,,SOY,,,,,,,,,,BEANS,RICE,RICE
CINNAMON ROLL,SDH,130,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,BREAD,ROLL,ROLL
VEGETABLE EGG ROLL,SDH,117,DINING HALL,,SOY,WHEAT,,,,,,,,,ASIAN,ROLL,ROLL
RYE LIGHT,SDH,100,DINING HALL,,SOY,WHEAT,,,,,,,,,BREAD,RYE,RYE
SOUTHWEST SALAD,SDH,491,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,MEAT,SALAD,SOUTH
WHITE CHICKEN SALAD,SDH,238,DINING HALL,,FISH,SOY,,,,,,,,,CHICKEN,SALAD,SALAD
FRIED CATFISH,SDH,252,DINING HALL,,EGGS,FISH,SOY,WHEAT,,,,,,,FISH,SEAFOOD,SEAFOOD
TILAPIA A LA MEUNIERE,SDH,263,DINING HALL,,EGGS,FISH,MILK,WHEAT,,,,,,,FISH,SEAFOOD,SEAFOOD
BAKED TILAPIA W/HORSERADISH SAUCE,SDH,319,DINING HALL,,EGGS,FISH,MILK,,,,,,,,FISH,SEAFOOD,SEAFOOD
FISH AND CHIPS BASKET,SDH,597,DINING HALL,,EGGS,FISH,MILK,SOY,WHEAT,,,,,,FISH,SEAFOOD,POTATOES
PESTO SALMON,SDH,196,DINING HALL,,FISH,MILK,,,,,,,,,FISH,SEAFOOD,SEAFOOD
SCALLOPED CORN CASSEROLE,SDH,256,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,CASSEROLE,SEAFOOD,SCALLOPS
LEMON GRILLED SALMON,SDH,132,DINING HALL,,FISH,,,,,,,,,,FISH,SEAFOOD,SEAFOOD
GRILLED SALMON WITH SALSA VERDE,SDH,164,DINING HALL,,FISH,,,,,,,,,,FISH,SEAFOOD,SEAFOOD
ROASTED COD TAPENADE,SDH,186,DINING HALL,,FISH,,,,,,,,,,FISH,SEAFOOD,SEAFOOD
SHAMROCK PIE,SDH,366,DINING HALL,,MILK,SOY,TREE NUTS,WHEAT,,,,,,,PIE,SHAMROCK,SHAMROCK
SHRIMP,SDH,34,DINING HALL,,,,,,,,,,,,SEAFOOD,SHRIMP,SHRIMP
SHRIMP SMALL,SDH,34,DINING HALL,,SHELLFISH,,,,,,,,,,SEAFOOD,SHRIMP,SHRIMP
SPICY SQUASH SOUP,SDH,162,DINING HALL,,MILK,SOY,,,,,,,,,VEGETABLES,SOUP,SOUP
THIN SPAGHETTI,SDH,78,DINING HALL,,WHEAT,,,,,,,,,,PASTA,SPAGHETTI,SPAGHETTI
THAI SPRING ROLLS,SDH,37,DINING HALL,,SOY,WHEAT,,,,,,,,,ASIAN,SPRING ROLL,SPRING ROLL
BUTTERNUT SQUASH RAVIOLI W/SAGE BUTTER,SDH,111,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,PASTA,SQUASH,SQUASH
SZECHUAN ORIENTAL VEGETABLE STIR-FRY,SDH,279,DINING HALL,,SOY,,,,,,,,,,ASIAN,STIR,FRY
TRI-COLOR TORTELLINI,SDH,225,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,PASTA,TORTELLINI,TORTELLINI
FRENCH VANILLA NON-FAT YOGURT,SDH,129,DINING HALL,,MILK,,,,,,,,,,YOGURT,VANILLA,VANILLA
VANILLA ICE CREAM,SDH,244,DINING HALL,,MILK,,,,,,,,,,ICE CREAM,VANILLA,VANILLA
MALIBU VEGAN GARDENBURGER,SDH,169,DINING HALL,,SOY,WHEAT,,,,,,,,,BURGER,VEGAN,VEGAN
MAPLE SYUP MASHED SWEET POTATOES,SDH,153,DINING HALL,,MILK,SOY,,,,,,,,,POTATOES,VEGETABLES,VEGETABLES
ANTIPASTO SALAD,SDH,238,DINING HALL,,MILK,SOY,,,,,,,,,SALAD,VEGETABLES,VEGETABLES
COCONUT BUTTERNUT SQUASH WITH NOODLES,SDH,85,DINING HALL,,SOY,TREE NUTS,WHEAT,,,,,,,,NOODLES,VEGETABLES,VEGETABLES
BAKED SWEET POTATO,NDH,110,DINING HALL,,MILK,TREE NUTS,,,,,,,,,POTATOES,VEGETABLES,VEGETABLES
WINTER VEGETABLE STEW,SDH,94,DINING HALL,,SOY,WHEAT,,,,,,,,,STEW,VEGETABLES,VEGETABLES
LENTIL AND BARLEY STEW,SDH,125,DINING HALL,,SOY,WHEAT,,,,,,,,,STEW,VEGETABLES,VEGETABLES
FRIED ONION RINGS,SDH,168,DINING HALL,,MILK,WHEAT,,,,,,,,,ONIONS,VEGETABLES,RINGS
STEAMED WHOLE GREEN BEANS,SDH,30,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
BUTTERNUT SQUASH AND APPLE CHUTNEY,SDH,31,DINING HALL,,SOY,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
HEARTY VEGETABLE SOUP,SDH,73,DINING HALL,,SOY,,,,,,,,,,SOUP,VEGETABLES,VEGETABLES
RICE BROWN PILAF VEGAN CRAN ALMONDS-SDH,SDH,139,DINING HALL,,TREE NUTS,,,,,,,,,,RICE,VEGETABLES,VEGETABLES
FRESH MASHED POTATOES,SDH,169,DINING HALL,,MILK,,,,,,,,,,POTATOES,VEGETABLES,VEGETABLES
SAUSAGE AND PEPPERS,SDH,232,DINING HALL,,WHEAT,,,,,,,,,,PORK,VEGETABLES,VEGETABLES
HONEY WHEAT WRAP,SDH,283,DINING HALL,,SOY,WHEAT,,,,,,,,,WRAP,WHEAT,BREAD
YOGURT LOW FAT PLAIN SWEETENED,SDH,184,DINING HALL,,MILK,,,,,,,,,,DAIRY,YOGURT,YOGURT
SAUTEED ZUCCHINI AND YELLOW SQUASH,SDH,30,DINING HALL,,,,,,,,,,,,VEGETABLES,ZUCCHINI,SQUASH
SCALLOPS,SDH,31,DINING HALL,,EGGS,FISH,SHELLFISH,SOY,WHEAT,,,,,,SEAFOOD,SEAFOOD,SEAFOOD
THAI FRIED RICE,SDH,155,DINING HALL,,EGGS,FISH,SHELLFISH,WHEAT,,,,,,,ASIAN,ASIAN,ASIAN
CHOCOLATE CHIP MUFFIN,SDH,411,DINING HALL,,EGGS,FISH,MILK,SOY,WHEAT,,,,,,BREAD,BREAD,BREAD
POWDERED SUGAR DONUT HOLES,SDH,77,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUTS,DONUTS,DONUTS
WHITE DINNER ROLLS,SDH,101,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,BREAD,BREAD,BREAD
BEER BATTERED COD,SDH,105,DINING HALL,,FISH,MILK,SOY,WHEAT,,,,,,,FISH,FISH,FISH
CHICKEN IN THE POT,SDH,132,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,CHICKEN,CHICKEN,CHICKEN
CRAN-ORANGE BREAD,SDH,142,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
BUTTERMILK PANCAKES,SDH,165,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,PANCAKES,PANCAKES,PANCAKES
SNICKERDOODLE COOKIE,SDH,180,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,COOKIES,COOKIES,COOKIES
CORNBREAD MUFFINS,SDH,187,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,BREAD,BREAD,BREAD
MANDM COOKIES,SDH,190,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,COOKIES,COOKIES,COOKIES
SUGAR COOKIE,SDH,190,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,COOKIES,COOKIES,COOKIES
TRIPLE CHOCOLATE COOKIE,SDH,190,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,COOKIES,COOKIES,COOKIES
BAKERS CHOICE COOKIE,SDH,192,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,COOKIE,COOKIE,COOKIE
REESE'S PIECES COOKIE,SDH,200,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,COOKIES,COOKIES,COOKIES
CINNAMON SUGAR CAKE DONUT,SDH,216,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
CHOCOLATE ICED CAKE DONUT,SDH,217,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
BUTTERED NOODLES,SDH,218,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,NOODLES,NOODLES,NOODLES
PEANUT BUTTER COOKIE,SDH,221,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,PEANUT BUTTER,PEANUT BUTTER,PEANUT BUTTER
PENNE WITH  ZUCHINNI HERBS LEMON ZEST,SDH,254,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,PASTA,PASTA,PASTA
APPLE FRITTER,SDH,262,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
FROZEN YOGURT AND ICE CREAM BAR,SDH,262,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,YOGURT,YOGURT,YOGURT
SUNSHINE FRENCH TOAST,SDH,262,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
WALNUT BROWNIE WITH CHOC ICING,SDH,270,DINING HALL,,EGGS,MILK,SOY,TREE NUTS,WHEAT,,,,,,CHOCOLATE,CHOCOLATE,CHOCOLATE
GLAZED DONUT,SDH,276,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUTS,DONUTS,DONUTS
MEATLOAF,SDH,278,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,MEAT,MEAT,MEAT
SUPER BREAKFAST PIZZERIA PIZZA,SDH,282,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,PIZZA,PIZZA,PIZZA
INDIVIDUAL NY CHEESECAKE,SDH,285,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,CAKE,CAKE,CAKE
PENNE WITH WINTER PESTO AND PINE NUT,SDH,288,DINING HALL,,EGGS,MILK,TREE NUTS,WHEAT,,,,,,,PASTA,PASTA,PASTA
S'MORE BARS,SDH,298,DINING HALL,,EGGS,MILK,PEANUTS,SOY,TREE NUTS,WHEAT,,,,,SMORES,SMORES,SMORES
GLAZED TWIST DONUT,SDH,304,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUTS,DONUTS,DONUTS
PULLED PORK POTATO SKINS,SDH,304,DINING HALL,,EGGS,MILK,SOY,,,,,,,,POTATOES,POTATOES,POTATOES
BROWNIE NO NUTS,SDH,307,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BROWNIE,BROWNIE,BROWNIE
CORNBREAD,SDH,330,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,BREAD,BREAD,BREAD
SAUSAGE AND SUN-DRIED TOMATO STRATA,SDH,359,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,MEAT,MEAT,MEAT
ELI'S BREAKFAST SANDWICH,SDH,360,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,MEAT,MEAT,MEAT
JALAPENO CHEDDAR CORNBREAD,SDH,360,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
CRACKLIN OAT BRAN,SDH,363,DINING HALL,,SOY,MILK,TREE NUTS,WHEAT,,,,,,,CEREAL,CEREAL,CEREAL
RAISIN BRAN MUFFIN,SDH,376,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
VEGAN IMPOSSIBLE SLIDERS,SDH,378,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BURGER,BURGER,BURGER
LINGUINE CARBONARA,SDH,384,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,PASTA,PASTA,PASTA
